#{"t_start": 1769142679.8784785, "env_id": "None"}
r,l,t
22011.604822,200,949.528247
-897.554211,2,949.530254
425.592775,20,949.556443
-759.069784,7,949.566911
22574.389149,200,951.971234
21638.370238,200,952.210074
21382.557132,200,952.463589
3857.217247,54,952.534736
22878.811415,200,952.805653
23510.973352,200,953.091416
22354.444144,200,953.355366
-891.28758,4,953.356801
-998.246729,1,953.362336
21473.240577,200,953.593192
20137.141326,200,953.831851
22703.027464,200,954.087124
22670.116454,200,954.373206
23782.406599,200,956.451787
19035.067353,200,956.738973
-926.481816,4,956.740722
22752.325386,200,957.01107
-851.393126,6,957.019144
22947.225058,200,957.267224
23198.732059,200,957.510647
23550.576743,200,957.763232
-722.202052,7,957.776343
22514.153844,200,958.004308
22046.292444,200,958.251365
22930.447792,200,958.492129
-818.226332,7,958.499969
22212.738636,200,958.745866
-876.327434,7,958.755537
20472.251052,200,961.090986
22298.627032,200,961.351959
-873.434948,4,961.362194
20603.015576,200,961.590468
22270.159005,200,961.850921
23108.291283,200,962.133188
21650.433669,200,962.374757
-974.365414,2,962.374757
21367.668865,200,962.629819
-347.694236,12,962.65066
22280.299818,200,962.927332
-966.446543,7,962.948855
-978.199245,3,962.957601
22905.727792,200,963.243265
162.229072,17,963.274747
-618.280441,6,963.282582
23451.31088,200,963.546072
-865.422656,5,963.546072
-713.379893,5,963.562077
23646.669982,200,965.94612
109.468278,18,965.970542
20460.475085,200,966.204693
22453.70189,200,966.441127
-555.242285,7,966.451265
22285.273959,200,966.693609
22767.357779,200,966.953303
-895.13575,8,966.963426
-878.621287,7,966.971605
23187.242146,200,967.220412
22804.293509,200,967.453126
-155.792605,11,967.469244
19672.888478,200,967.716916
23018.604528,200,967.977779
22743.475805,200,968.221835
-965.337534,1,968.23225
-814.461618,7,968.23225
408.242149,20,968.266325
21751.962281,200,971.041641
23360.768818,200,971.291788
-780.432779,8,971.294195
22611.241453,200,971.610365
22010.305404,200,971.886142
21845.415876,200,972.1673
-966.04999,1,972.1673
-962.191502,1,972.171758
23135.308639,200,972.426564
23336.201105,200,972.664845
23503.780251,200,972.928482
22797.921879,200,973.206744
21713.686115,200,973.506569
22995.318116,200,976.594581
-537.968438,9,976.606069
23006.896065,200,976.84849
22755.993985,200,977.095342
-897.846552,4,977.098548
23963.143174,200,977.390193
21488.475204,200,977.666827
-996.509063,1,977.666827
21505.930448,200,977.961936
22097.129719,200,978.213158
21870.646926,200,978.472728
23653.772577,200,978.737034
22538.847555,200,978.996816
-747.370003,14,979.024207
23270.3502,200,981.182168
-824.078705,9,981.194055
-520.981628,11,981.202176
20736.725574,200,981.450656
-395.421066,13,981.471853
22856.459803,200,981.721032
22218.897959,200,981.968543
21685.269128,200,982.207429
22587.37929,200,982.46209
-988.039406,1,982.46209
-657.933212,5,982.472274
-649.326361,6,982.480214
22652.680821,200,982.731551
-389.87612,13,982.751034
-848.385797,5,982.757967
21551.109882,200,983.010285
-136.143125,14,983.031585
22663.526531,200,983.34524
23312.729723,200,983.645767
23044.188071,200,986.216404
23970.111496,200,986.483262
21505.747537,200,986.739269
23761.432265,200,986.98974
233.100835,20,987.021008
23405.263455,200,987.322408
22640.990745,200,987.562679
21783.803171,200,987.801756
-740.890371,11,987.822579
23954.21695,200,988.052228
-166.358799,14,988.078729
21376.450207,200,988.312079
21365.078097,200,988.561308
-727.630616,7,988.571121
21230.886579,200,990.895234
22266.600496,200,991.121204
21456.628373,200,991.395227
22278.995488,200,991.659203
-951.913173,3,991.664189
22451.311671,200,991.91223
23223.883331,200,992.172968
23182.401635,200,992.410315
22123.553339,200,992.688547
22902.22556,200,992.955359
-836.892961,7,992.964895
22377.232338,200,993.273674
23621.618267,200,995.559986
22548.800443,200,995.804379
23407.122113,200,996.046421
22163.095069,200,996.291633
-854.330374,5,996.302049
22444.854067,200,996.53865
-907.294238,4,996.549081
22525.586383,200,996.803657
21417.195412,200,997.041603
22707.72826,200,997.292091
23055.780971,200,997.530673
-971.364437,1,997.530673
21852.570592,200,997.784477
22504.053478,200,1000.321219
23275.094084,200,1000.570493
-1006.634184,1,1000.570493
-930.404879,3,1000.580755
-110.918082,14,1000.601958
-745.894788,10,1000.615353
21219.033147,200,1000.909584
23819.718506,200,1001.210153
21576.817565,200,1001.494254
22614.733309,200,1001.746841
-991.417488,1,1001.757221
22119.76271,200,1002.018006
137.691604,18,1002.042134
-564.142889,11,1002.05573
22607.09885,200,1002.311678
22538.82302,200,1002.555118
21753.828392,200,1002.812017
22649.82956,200,1005.263095
-754.464407,5,1005.27536
-981.241501,6,1005.28606
22815.428268,200,1005.55695
-727.56695,10,1005.573432
-927.409251,8,1005.583053
22134.406416,200,1005.861341
22523.987488,200,1006.145015
21327.900114,200,1006.423809
22136.134538,200,1006.679121
21964.049846,200,1006.950967
22709.384296,200,1007.188829
22992.685841,200,1007.46042
21758.502362,200,1007.708239
22297.79511,200,1010.671214
22816.160849,200,1010.93068
23291.375435,200,1011.208008
21713.608752,200,1011.463391
23258.224776,200,1011.769448
24209.20463,200,1012.034809
23526.321852,200,1012.303709
-27.494026,16,1012.329395
-654.203072,11,1012.346322
-807.704489,8,1012.354583
-957.203609,1,1012.359915
21497.217076,200,1012.602629
-968.90954,1,1012.602629
21761.734822,200,1012.833325
21474.377723,200,1013.133801
-697.584938,8,1013.146448
22999.039026,200,1017.006238
22026.243664,200,1017.256248
-971.837577,1,1017.256248
22903.571973,200,1017.499819
22321.884101,200,1017.733571
20769.400813,200,1018.014318
22283.048109,200,1018.281831
20769.219067,200,1018.537497
23363.065545,200,1018.81988
21345.011505,200,1019.075072
22456.191003,200,1019.319565
24795.041829,200,1019.593448
-959.552914,6,1022.450443
21986.437978,200,1022.703058
21986.829206,200,1022.963057
23235.138234,200,1023.219302
23124.233789,200,1023.469959
23568.493525,200,1023.770647
-896.756259,7,1023.780296
22908.131854,200,1024.046249
23588.797629,200,1024.318383
22656.561996,200,1024.569829
21062.69463,200,1024.816886
22382.017809,200,1025.079993
22297.959209,200,1027.787449
-1047.265556,6,1027.797908
23469.137628,200,1028.080436
22501.709079,200,1028.363121
21974.593675,200,1028.652303
-570.54307,6,1028.66722
21439.296652,200,1028.970313
22184.211646,200,1029.229817
22777.556772,200,1029.495453
-705.077571,15,1029.517405
22876.085344,200,1029.774482
23225.925446,200,1030.043906
21919.815992,200,1030.322767
22716.479391,200,1033.211767
21643.270144,200,1033.491858
400.995581,21,1033.511761
21061.017724,200,1033.759864
22242.6881,200,1034.03933
23108.395454,200,1034.300164
-213.488585,12,1034.323077
-711.366238,10,1034.334625
21604.755017,200,1034.567339
-452.467413,12,1034.583268
22181.997619,200,1034.84785
23090.040135,200,1035.093972
22307.2479,200,1035.346853
21953.484063,200,1035.634745
22542.278436,200,1038.144255
21550.084888,200,1038.431333
22578.227309,200,1038.679386
-655.281798,10,1038.689759
22719.695271,200,1038.967478
20686.158955,200,1039.221547
22418.865318,200,1039.488991
-983.851912,1,1039.499517
23217.962965,200,1039.739053
23005.588412,200,1039.98608
22043.771307,200,1040.22373
23299.917905,200,1040.49223
-958.97726,4,1040.497729
22917.659187,200,1042.753433
-806.304158,11,1042.765632
21671.273153,200,1043.016545
23635.567382,200,1043.276036
-586.995248,6,1043.284733
-956.133438,1,1043.286473
-712.558189,8,1043.298871
-169.485243,12,1043.317909
23541.044776,200,1043.562881
23053.127863,200,1043.798983
22205.187642,200,1044.049092
23236.515508,200,1044.30191
-947.960662,6,1044.313986
23457.407487,200,1044.589972
-795.910768,8,1044.599266
-928.083615,9,1044.616525
-861.136877,9,1044.634384
22842.834425,200,1044.89018
23385.490795,200,1045.143628
23453.792391,200,1047.70145
22604.071377,200,1047.947881
24395.046814,200,1048.192223
-734.433914,8,1048.204371
23574.819971,200,1048.438649
-916.376058,6,1048.439656
-918.307224,5,1048.454723
24253.82596,200,1048.708134
23448.340111,200,1048.945541
22735.395427,200,1049.227234
22331.867308,200,1049.488748
21611.501724,200,1049.729028
21150.31179,200,1049.965409
22509.713497,200,1052.380251
-808.202161,4,1052.380251
22897.796244,200,1052.651176
21977.737284,200,1052.891432
-386.655095,11,1052.90768
-818.552763,8,1052.918838
21181.930883,200,1053.15317
23572.81475,200,1053.448646
23534.49857,200,1053.737745
24122.882984,200,1053.999676
21349.069537,200,1054.257337
-967.56974,1,1054.257337
-813.643017,11,1054.276402
21687.913148,200,1054.525446
23145.786433,200,1054.765972
21402.908073,200,1057.458201
-290.469074,15,1057.478277
22670.076071,200,1057.719992
22787.808918,200,1057.97747
23173.878477,200,1058.222803
23098.968552,200,1058.483147
23467.237328,200,1058.734503
23115.544831,200,1058.990592
22275.831799,200,1059.243854
23463.25436,200,1059.506577
23023.3622,200,1059.783732
24190.454894,200,1062.248112
-967.561596,1,1062.251827
114.586613,17,1062.273022
22217.140604,200,1062.511178
-990.349081,2,1062.511178
22969.317321,200,1062.763526
23536.489105,200,1063.025961
23108.349767,200,1063.262403
-955.388527,3,1063.272623
23747.885098,200,1063.518062
23082.982694,200,1063.765153
22097.366345,200,1064.027139
23295.817922,200,1064.27453
23124.995298,200,1064.514094
23802.988476,200,1067.262831
22034.867574,200,1067.514216
23151.01278,200,1067.782022
21226.837533,200,1068.007019
23085.490616,200,1068.283102
22346.745755,200,1068.535082
21329.502724,200,1068.796022
23599.128935,200,1069.051626
22225.363267,200,1069.300628
23766.870712,200,1069.540808
23423.805489,200,1069.822121
-983.207717,2,1069.822121
-522.248415,8,1071.821133
23480.025826,200,1072.066208
-974.888085,1,1072.066208
22683.119346,200,1072.322613
22934.525068,200,1072.583747
22987.95459,200,1072.841933
22465.748053,200,1073.071115
22047.003231,200,1073.321541
23166.096999,200,1073.566662
23772.961161,200,1073.8077
23902.730321,200,1074.072546
22307.029247,200,1074.313153
23712.842137,200,1076.575575
23345.712381,200,1076.828397
21635.724112,200,1077.070143
23369.587853,200,1077.318022
21991.678762,200,1077.552852
23046.739497,200,1077.78608
-866.251379,7,1077.79346
21012.073396,200,1078.030932
21564.737701,200,1078.283552
23345.146455,200,1078.523412
23033.349513,200,1078.758489
22286.823257,200,1081.18717
-963.069335,1,1081.18717
23716.656284,200,1081.424572
22555.56444,200,1081.681527
24327.09902,200,1081.96289
23286.639116,200,1082.241392
22859.787955,200,1082.501781
-927.63069,5,1082.517622
23521.583287,200,1082.806508
23307.848672,200,1083.057491
23453.225036,200,1083.32723
23507.352322,200,1083.5773
24119.814029,200,1086.099904
23136.494668,200,1086.34614
-958.020159,1,1086.34614
23237.920219,200,1086.586674
23395.301334,200,1086.837427
23502.349285,200,1087.093377
-568.245291,6,1087.093377
23513.426664,200,1087.34521
23825.060831,200,1087.599772
22398.701234,200,1087.840709
23582.472898,200,1088.099967
22701.383156,200,1088.33119
22869.472859,200,1091.265147
-883.290495,2,1091.268404
23950.040444,200,1091.528056
-662.328813,7,1091.537009
22425.7362,200,1091.787835
24340.839137,200,1092.058557
23439.904055,200,1092.291974
23372.478111,200,1092.529504
22623.551142,200,1092.761644
24158.003707,200,1093.012139
22949.312736,200,1093.24229
23120.845271,200,1093.511636
23566.121696,200,1093.7661
-518.751063,10,1095.86052
23333.606416,200,1096.109817
23684.594515,200,1096.351396
-983.192174,1,1096.353508
23229.022283,200,1096.600323
22689.387369,200,1096.873873
23839.923603,200,1097.121151
22696.549932,200,1097.360771
23660.990716,200,1097.633023
22603.047029,200,1097.869136
22485.352651,200,1098.118599
