#{"t_start": 1769017336.1027758, "env_id": "None"}
r,l,t
17235.852177,200,2443.65981
24185.540606,200,2443.936294
12504.047098,200,2444.197354
21519.856744,200,2444.464525
24443.016805,200,2444.723514
13763.946301,200,2445.003121
22970.163359,200,2445.257416
21099.308233,200,2445.52498
21654.051782,200,2448.77702
12010.456709,170,2449.013617
23681.907391,200,2449.281799
2651.510567,35,2449.322856
18697.527456,200,2449.58911
19109.258109,200,2449.863041
23217.197685,200,2450.123663
22417.518176,200,2450.382256
18115.1901,200,2450.6505
21527.921691,200,2450.91941
13548.547877,200,2451.187238
22492.39899,200,2454.647855
20958.892395,200,2454.912225
-221.559587,15,2454.932432
555.108144,33,2454.974355
21374.836104,200,2455.247135
20876.622397,200,2455.513955
1959.494801,31,2455.554341
21864.111893,200,2455.821272
23550.648512,200,2456.087037
9894.565428,200,2456.347835
19991.629172,200,2456.622137
19769.306929,200,2456.893425
19475.030014,200,2457.162105
-713.591906,4,2457.168164
17447.2253,200,2460.758866
22108.327976,200,2461.025479
9673.551162,200,2461.292234
225.587964,37,2461.343745
20110.886524,200,2461.611653
23470.514282,200,2461.878684
18031.3643,200,2462.134608
21202.325846,200,2462.432253
184.348144,15,2462.455883
21874.333058,200,2462.709762
14381.526368,200,2462.975162
18222.675332,200,2463.23993
18649.8585,200,2467.099334
22736.145274,200,2467.366231
22839.096483,200,2467.627833
26092.789667,200,2467.885051
190.193174,17,2467.916128
20289.391429,200,2468.18003
13523.56423,200,2468.449093
-847.874524,3,2468.449093
24422.678005,200,2468.717934
7300.738638,71,2468.810508
25835.552842,200,2469.070085
23866.243996,200,2469.32637
22669.317199,200,2469.594239
1382.625062,35,2469.635649
20151.588902,200,2472.952625
22334.156575,200,2473.214888
14739.233169,200,2473.483503
15918.202188,200,2473.751431
25091.217783,200,2474.010068
23205.831054,200,2474.279199
20225.520933,200,2474.548406
4386.635506,70,2474.635231
-944.159231,1,2474.635231
16942.991792,188,2474.893845
-400.164285,13,2474.910006
22104.012783,200,2475.170607
14299.358725,200,2475.435123
22165.38316,200,2478.72797
5015.802183,62,2478.811544
21335.414536,200,2479.07544
1885.254133,41,2479.126448
21790.740273,200,2479.393844
22961.042855,200,2479.66013
24116.099066,200,2479.916
23562.597089,200,2480.185774
-568.745428,4,2480.191431
24193.605895,200,2480.451759
18123.844449,200,2480.71934
21698.427052,200,2480.976675
20484.917064,200,2484.70723
16722.64034,200,2484.974867
23579.634899,200,2485.242617
20309.243468,200,2485.509979
22731.552137,200,2485.766285
3128.604658,63,2485.859065
21910.593321,200,2486.116311
-589.560895,8,2486.126597
2610.263044,54,2486.201696
16213.200461,200,2486.465407
21484.713255,200,2486.728932
23206.728705,200,2486.989703
19211.846514,200,2487.25661
19681.302189,200,2490.560609
19108.443823,200,2490.823271
21813.100051,200,2491.091574
21933.21186,200,2491.348643
18727.678952,200,2491.620362
22428.269021,200,2491.874331
11725.970399,200,2492.14677
21224.294969,200,2492.412984
21006.240059,200,2492.676301
20997.016977,200,2492.951845
21870.470135,200,2497.208696
23434.948226,200,2497.475337
17940.636199,200,2497.753207
21553.87292,200,2498.039081
23811.197045,200,2498.317709
21447.269172,200,2498.577405
22309.475149,200,2498.861059
21863.824558,200,2499.12752
24169.82821,200,2499.411513
18778.329115,200,2499.680853
9756.546576,107,2499.822547
10758.236721,200,2504.124749
22198.600812,200,2504.392196
14121.694271,200,2504.649355
10404.01002,200,2504.915527
25199.576082,200,2505.181325
20713.123109,200,2505.449893
24402.421718,200,2505.727424
10881.608965,200,2506.009438
19526.302916,200,2506.290096
23914.505599,200,2506.594869
25114.555377,200,2510.11284
20653.136253,200,2510.383767
1770.903856,39,2510.43427
22478.523105,200,2510.702606
12154.940023,200,2510.963459
18804.141484,200,2511.227107
20091.754672,200,2511.496334
19935.023952,200,2511.760359
22940.010218,200,2512.031759
22030.868539,200,2512.299286
2191.886197,34,2512.345734
21465.746199,200,2512.613532
23029.058515,200,2517.136823
19503.558885,200,2517.423397
1916.26838,42,2517.474532
20151.313364,200,2517.750082
22084.95903,200,2518.016475
13223.96032,200,2518.282141
19384.233349,200,2518.547787
22601.183741,200,2518.823753
23133.763509,200,2519.090724
-947.85116,1,2519.100907
21470.861958,200,2519.367383
23535.517277,200,2519.632113
21525.988268,200,2523.649093
22751.660072,200,2523.905823
23404.691158,200,2524.183757
24228.250966,200,2524.46489
1516.699783,37,2524.510774
11431.285408,200,2524.777326
3193.354343,48,2524.839067
21855.976209,200,2525.124657
13164.550639,200,2525.429541
21453.790372,200,2525.741134
21720.917997,200,2526.031735
-919.683429,1,2526.031735
21352.528906,200,2526.307985
24333.98822,200,2529.647807
544.174386,15,2529.690167
