#{"t_start": 1770923807.9779322, "env_id": "None"}
r,l,t
4376.770157,200,40932.550213
4965.752769,200,40934.736677
3176.246066,200,40936.582287
4039.955838,200,40938.557785
4195.192416,200,40940.662999
2725.297741,200,40942.83632
4679.135482,200,40944.988317
4581.579953,200,40947.098788
4543.324552,200,40949.187293
3035.720659,200,40951.354672
5096.178136,200,40953.455593
4020.032157,200,40955.457592
4392.109917,200,40957.514489
4310.561502,200,40959.644634
4561.768989,200,40961.857036
4431.782891,200,40964.01668
4008.903838,200,40966.090238
4060.045691,200,40968.203384
3518.504744,200,40970.2949
3168.870482,200,40972.510025
4348.358542,200,40974.667508
3758.965874,200,40976.733513
3591.88678,200,40978.804036
2733.55568,200,40980.97473
4233.065543,200,40982.925683
3444.094838,200,40984.795486
4559.551333,200,40986.656177
4623.119459,200,40988.497097
3763.287225,200,40990.377039
4198.411726,200,40992.197361
4340.121858,200,40994.10911
4160.137,200,40995.976002
3888.766139,200,40997.883334
3468.497779,200,40999.732899
3217.124906,200,41001.640795
3783.21052,200,41003.479047
2789.65063,200,41005.344862
4557.980644,200,41007.179794
-190.107909,1,41007.207037
4438.911289,200,41009.076691
4838.804093,200,41010.901945
3761.147768,200,41012.805452
4279.287523,200,41014.678641
4140.11477,200,41016.508618
4064.942587,200,41018.384843
3890.567289,200,41020.253881
3392.833131,200,41022.11302
4234.812594,200,41024.266665
4422.914111,200,41026.081877
4210.374271,200,41028.013726
4629.703978,200,41029.969692
4043.511227,200,41031.899139
3316.74567,200,41033.757276
3087.062426,200,41035.676102
3933.245523,200,41037.543204
3848.10743,200,41039.443487
3443.958902,200,41041.393599
3805.798437,200,41043.268396
2755.517501,200,41045.146265
4069.093789,200,41047.001544
3591.437894,200,41048.917368
3726.938316,200,41050.837899
3411.839899,200,41052.893099
4095.766525,200,41054.873252
4153.475017,200,41056.888856
3803.087033,200,41058.874933
3870.176781,200,41060.911774
3684.97159,200,41062.931705
3630.208335,200,41064.968948
4961.637238,200,41066.97382
3554.033567,200,41068.915215
2625.782954,200,41070.883132
3870.677925,200,41072.906902
4036.581301,200,41074.952893
3802.851751,200,41076.983992
3818.07665,200,41078.939587
3678.568558,200,41080.93499
4814.654784,200,41082.993425
3903.618846,200,41085.347185
4536.194184,200,41087.746175
3981.276162,200,41090.169773
4921.20901,200,41092.473053
3784.350936,200,41094.587071
4705.63159,200,41096.676161
4468.062518,200,41098.680031
3896.642798,200,41100.640609
4254.397375,200,41102.670706
3901.024227,200,41104.779859
3185.411975,200,41106.893602
2719.228064,200,41109.096589
3612.059093,200,41111.30743
3577.176262,200,41113.479135
3261.261923,200,41115.634328
4690.328286,200,41117.799689
3695.984455,200,41120.030336
3887.832812,200,41122.166245
4039.554942,200,41124.28588
3362.871209,200,41126.407827
3998.023495,200,41128.595043
4576.831907,200,41130.783223
4666.974434,200,41132.932297
4231.207087,200,41135.008486
4396.406715,200,41137.105257
4487.172829,200,41139.230268
3987.879567,200,41141.375331
3724.704472,200,41143.468865
4953.365552,200,41145.622152
3815.725225,200,41147.715675
4100.447002,200,41149.869364
4234.047561,200,41152.027161
4144.44683,200,41154.132605
2956.053218,200,41156.185589
4578.413698,200,41158.2483
4529.71771,200,41160.429806
4510.269691,200,41162.676719
3594.233263,200,41164.805245
3082.17671,200,41166.945029
4446.464139,200,41169.159694
4076.482754,200,41171.367334
4578.387773,200,41173.520436
3964.276416,200,41175.747403
3815.741964,200,41177.916224
3513.119604,200,41180.116411
4164.446587,200,41182.274221
4170.389104,200,41184.523634
4431.288963,200,41186.677799
3723.364651,200,41188.833078
4093.485379,200,41190.98375
4508.608943,200,41193.098459
3758.508541,200,41195.198694
4408.964439,200,41197.340192
4107.646164,200,41199.507331
3137.677272,200,41201.603911
4423.436384,200,41203.700189
4169.08688,200,41205.856431
4758.65694,200,41207.997884
3321.665474,200,41210.193661
3921.194886,200,41212.352495
4748.126087,200,41214.478951
4317.729036,200,41216.589858
3818.265528,200,41218.76151
4402.719248,200,41220.931045
3159.994191,200,41222.983356
3149.800828,200,41224.928287
4077.059396,200,41226.887485
3702.228182,200,41228.842075
3414.683738,200,41230.871348
3842.479468,200,41232.820535
5033.200887,200,41234.838748
3175.732639,200,41236.796358
4370.183315,200,41238.763581
5360.629456,200,41240.603986
3989.373814,200,41242.665451
4229.315901,200,41244.642614
4647.924027,200,41246.850963
4582.251577,200,41248.807497
3986.864223,200,41250.745399
4438.963718,200,41252.70746
4130.435907,200,41254.575771
4093.234926,200,41256.435151
4101.548654,200,41258.336364
4443.800946,200,41260.199591
4090.654117,200,41262.10184
3068.315701,200,41264.008054
3569.329264,200,41265.885553
3543.433849,200,41267.792567
-198.300645,1,41267.810538
3863.42302,200,41269.721943
3917.697216,200,41271.578445
5305.980009,200,41273.414814
4129.622578,200,41275.264072
4210.821108,200,41277.119012
4301.421789,200,41278.956079
3890.595499,200,41280.786174
4160.312351,200,41282.746653
4510.943632,200,41284.634881
4001.776422,200,41286.490816
4052.897622,200,41288.36432
4205.665113,200,41290.286633
4271.277184,200,41292.169148
3179.756673,200,41293.987203
4364.257873,200,41296.10773
4028.53106,200,41298.107906
3885.124613,200,41300.06348
3863.708524,200,41302.130929
4575.219076,200,41304.204456
3745.809876,200,41306.180919
3237.445942,200,41308.161463
4298.303469,200,41310.107239
4039.922731,200,41311.966196
3361.242135,200,41313.918557
3704.905901,200,41315.766703
3848.085588,200,41317.715749
3932.998537,200,41319.556123
4287.008585,200,41321.489728
3089.077036,200,41323.335895
3804.438471,200,41325.209484
3385.417189,200,41327.075
2320.23457,200,41328.90898
4154.420499,200,41330.78168
3720.608289,200,41332.615971
4709.672704,200,41334.492488
4039.306653,200,41336.425911
4535.642665,200,41338.281996
4015.891733,200,41340.232669
4595.40609,200,41342.228022
3627.985365,200,41344.37258
4414.850032,200,41346.587439
4011.134623,200,41348.761618
4927.981049,200,41350.967799
4254.685702,200,41353.091234
4625.463387,200,41355.220363
3708.889725,200,41357.370192
3046.950093,200,41359.628961
2701.335675,200,41361.719623
4151.367457,200,41363.789442
3238.507853,200,41365.986791
4251.982938,200,41368.178537
4268.791408,200,41370.425342
4190.452009,200,41372.567134
-191.123848,1,41372.576658
4261.799552,200,41374.66623
3472.252298,200,41376.855957
4087.2197,200,41379.031811
4854.898027,200,41381.208232
4639.598674,200,41383.288144
4586.330371,200,41385.450919
3906.788665,200,41387.60378
2123.994793,200,41389.73809
4829.048276,200,41391.862367
4396.629627,200,41393.970091
4336.929806,200,41396.109471
3123.367285,200,41398.237648
4480.220378,200,41400.369552
3762.577024,200,41402.512196
4739.432894,200,41404.719493
3316.041467,200,41406.888525
4409.707092,200,41409.05851
4368.160349,200,41411.233385
3551.199889,200,41413.494107
3854.567396,200,41415.667082
3215.538619,175,41417.757297
4324.164322,200,41419.897197
3067.427674,200,41421.966425
4404.763141,200,41424.063206
5313.532024,200,41426.231621
5100.244956,200,41428.502527
2666.632838,200,41430.630165
4742.343019,200,41432.719061
4342.314996,200,41434.910953
4394.946247,200,41437.136403
3921.06474,200,41439.321303
4238.396493,200,41441.480472
4553.543759,200,41443.697507
2588.859229,200,41445.905067
4722.822067,200,41448.105449
2585.082423,200,41450.237736
-197.55878,1,41450.247793
4152.354924,200,41452.409911
4610.451489,200,41454.606048
4021.815488,200,41456.791602
3455.498651,200,41458.948137
3986.071156,200,41461.130506
4272.615554,200,41463.068436
3729.540313,200,41464.906217
4506.80094,200,41466.792378
3110.81503,200,41468.723743
2344.346726,200,41470.541831
4156.938667,200,41472.3871
3071.378489,200,41474.224679
4260.789978,200,41476.170376
4506.741762,200,41478.139292
4492.398998,200,41479.980964
4084.878385,200,41481.828458
4096.696869,200,41483.805519
4449.155186,200,41485.993529
4430.336531,200,41487.977256
3591.506105,200,41489.950488
4878.837997,200,41491.972984
3406.180079,200,41493.907511
