#{"t_start": 1771044023.8945363, "env_id": "None"}
r,l,t
1947.762798,200,59.752586
1674.506426,200,61.425887
1978.049894,200,61.696842
-195.937242,1,61.696842
2386.357616,200,61.967983
1697.009535,200,62.231861
1950.604919,200,62.508805
2086.381595,200,62.77523
2511.12852,200,63.092056
2041.786673,200,63.376285
1980.530307,200,63.665703
2185.388179,200,63.938917
1540.774932,200,65.610521
2024.147148,200,65.891981
1427.755717,200,66.153162
2451.484237,200,66.435521
1672.353282,200,66.711329
2678.461159,200,66.988112
2358.35348,200,67.263501
50.972534,46,67.329685
-28.292722,57,67.40826
1710.291273,200,67.681018
1704.601557,200,67.970923
2018.86111,200,68.280623
1513.681936,200,69.933196
1822.073618,200,70.208865
2206.824329,200,70.48751
2709.039861,200,70.756979
2148.25634,200,71.031943
2399.704734,200,71.295764
2217.172909,200,71.590953
-182.187148,3,71.60341
1535.9836,200,71.895856
2564.071888,200,72.176708
2037.473369,200,72.467195
1993.443373,200,74.151059
1721.788403,200,74.433229
87.269783,25,74.467434
2834.829791,200,74.752653
2427.563732,200,75.034296
2083.857034,200,75.306145
1838.638359,200,75.591749
-195.534669,1,75.591749
2501.942516,200,75.867179
2202.169912,200,76.146574
2617.170593,200,76.427869
1743.321946,200,76.715833
1873.570984,200,78.502308
2283.94579,200,78.775452
2995.898783,200,79.065859
2658.542959,200,79.342051
2360.262443,200,79.620363
2165.49076,200,79.89736
1541.188862,200,80.171979
1837.267813,200,80.459647
2200.710234,200,80.744661
2389.438816,200,81.01706
2529.251361,200,81.304184
2268.542319,200,82.966183
1829.117847,200,83.230891
2560.355529,200,83.541568
2331.884516,200,83.822266
1767.930825,200,84.094789
2720.824311,200,84.363712
2388.456961,200,84.653423
2314.679645,200,84.93691
2893.823959,200,85.226954
2501.540922,200,85.524091
2662.455047,200,87.394997
2083.046568,200,87.682126
-217.651085,4,87.692468
1691.615615,200,87.97794
2397.775217,200,88.304985
2384.367362,200,88.627566
593.429902,55,88.708503
2190.594746,200,89.00406
-183.937389,6,89.016399
2313.164752,200,89.318938
2089.843243,200,89.621967
2154.325294,200,89.973303
2120.461845,200,90.275911
227.997485,41,90.325926
26.128044,25,90.356919
2153.567315,200,92.113459
2751.257644,200,92.389701
-201.592264,6,92.399991
2276.039054,200,92.695325
2227.141852,200,92.988368
2222.420005,200,93.286333
2135.966176,200,93.572581
2291.941646,200,93.900064
2281.021815,200,94.203121
2639.632983,200,94.500057
2112.672056,200,94.819885
2449.627942,200,96.62838
2541.765632,200,96.907118
2075.057279,200,97.209368
2032.530615,200,97.492315
2120.331168,200,97.788319
-48.62906,20,97.819268
-145.621619,4,97.819268
2322.384749,200,98.131827
2566.240056,200,98.430702
2434.549537,200,98.725272
2354.167159,200,99.048493
2700.008341,200,99.349072
2285.311658,200,100.939662
1484.828812,200,101.240467
2443.452993,200,101.551826
2807.967726,200,101.824085
2098.885193,200,102.115322
2487.119617,200,102.439471
2532.797149,200,102.741291
1709.955786,200,103.052254
2699.644137,200,103.354873
1923.289091,200,103.644018
2347.712552,200,105.560136
-152.554309,13,105.581984
2625.674151,200,105.886933
2021.305023,200,106.169378
2433.830773,200,106.490266
2447.908423,200,106.786655
2283.469569,200,107.082009
1884.744038,200,107.372107
2424.977171,200,107.679925
2605.225921,200,108.00917
2085.770297,200,108.30439
2075.548365,200,110.197331
2831.638146,200,110.474916
2586.455279,200,110.742858
2038.296045,200,111.025644
2704.386619,200,111.343992
2350.470742,200,111.637971
255.719991,38,111.689451
1833.068282,200,111.976135
0.726628,14,111.992526
2634.652764,200,112.311463
2823.988735,200,112.622837
2231.071488,200,112.899188
2348.210342,200,114.674857
2719.484989,200,114.961987
2972.722418,200,115.234986
2686.835378,200,115.508924
2772.272007,200,115.800946
2257.460987,200,116.138572
2612.236391,200,116.444579
2620.763856,200,116.778591
2240.490329,200,117.096367
2704.287129,200,117.381559
341.677364,43,117.442403
2787.512129,200,119.243878
2301.28045,200,119.601213
2221.87837,200,119.889692
-188.362213,4,119.899884
2728.523429,200,120.186458
2302.653455,200,120.485222
2591.750017,200,120.757347
2555.825257,200,121.05458
2321.909561,200,121.341041
2305.682623,200,121.659768
2707.030032,200,121.965616
2548.713334,200,122.306332
2057.331831,200,124.032596
2676.779037,200,124.328145
-183.945813,1,124.328145
2504.085733,200,124.645544
2085.512293,200,124.940665
2575.185467,200,125.246078
2245.019792,200,125.538861
2508.409616,200,125.821335
2038.683014,200,126.151347
1975.047991,200,126.436442
-167.230589,3,126.436442
2626.137151,200,126.720753
-162.280829,7,126.730935
2497.33566,200,128.572418
2604.494135,200,128.855227
2483.505502,200,129.141503
2715.08439,200,129.445886
2644.663731,200,129.758115
2608.186401,200,130.054881
2305.420862,200,130.375289
2598.715164,200,130.715585
1982.702461,200,131.033892
2497.970801,200,131.330375
2773.063229,200,133.231882
2712.285037,200,133.512736
2441.629091,200,133.810553
2760.670962,200,134.085173
1735.042673,200,134.378368
2748.272803,200,134.655738
2938.712101,200,134.988013
1918.290316,200,135.298765
2202.577638,200,135.625119
2914.297007,200,135.909798
-109.700156,16,135.930233
2812.359474,200,137.873447
2745.361654,200,138.186206
2491.136486,200,138.472288
2769.550776,200,138.763344
2163.739156,200,139.082953
2579.758847,200,139.388989
2364.147899,200,139.69892
1824.289774,200,140.018108
-189.263166,6,140.028295
2530.975674,200,140.330692
3096.98181,200,140.647027
2663.64089,200,142.546801
2490.537451,200,142.840989
2255.214836,200,143.129897
3263.159253,200,143.414988
2529.761822,200,143.723551
2482.815438,200,144.016379
2435.882928,200,144.320271
3041.389682,200,144.632169
2787.091332,200,144.971363
3248.410027,200,145.319275
2990.193099,200,145.635198
2415.486739,200,147.59464
2041.452024,200,147.902249
3050.039302,200,148.204962
3019.135244,200,148.498141
2671.286744,200,148.797938
2552.184044,200,149.122437
2601.661437,200,149.423442
2893.368784,200,149.726771
2261.310563,200,150.030577
2760.238982,200,150.36055
3087.062566,200,152.331567
3096.976447,200,152.638783
1905.270834,200,152.93414
-196.537814,1,152.93414
2613.75275,200,153.246214
2690.241569,200,153.561846
2967.310267,200,153.857812
3082.405032,200,154.138001
2923.597937,200,154.428594
2949.140313,200,154.744258
2960.656143,200,155.020541
2918.452456,200,156.964985
