#{"t_start": 1770228867.0307302, "env_id": "None"}
r,l,t
-904.015396,5,162.213283
-913.150076,4,162.213283
12640.157015,200,162.329347
11130.06885,200,162.442457
7940.02702,200,162.55497
14383.34816,200,162.677307
11787.560458,200,162.783741
11683.759234,200,162.911599
10349.642559,200,163.013103
13480.396625,200,163.133797
2475.069925,120,163.203503
13117.552742,200,163.316489
11323.558205,200,164.463508
13560.698856,200,164.568445
-594.970146,8,164.578988
-1003.400919,1,164.583225
12627.00685,200,164.700386
7560.170711,200,164.811739
12236.75606,200,164.921734
10420.059875,200,165.043076
15835.72355,200,165.160321
5793.730975,200,165.274986
12738.786069,200,165.379765
-668.110135,16,165.397748
15448.160266,200,165.513501
10610.440991,200,166.634187
11349.692489,200,166.751588
-1004.712262,1,166.753487
3654.737864,200,166.86606
6409.029545,200,166.980404
14606.334966,200,167.096879
10867.147679,200,167.21017
-514.15696,18,167.212179
15081.029062,200,167.336674
10499.460103,200,167.451343
6302.612934,200,167.555109
9926.439245,200,167.672566
11562.840205,200,168.981325
8577.105896,200,169.085908
14762.847352,200,169.209379
8512.136599,200,169.327414
13903.443953,200,169.441976
12970.542513,200,169.561641
14104.725887,200,169.678231
8839.401616,200,169.78704
13840.434727,200,169.901659
8228.375113,200,170.025324
15537.449778,200,171.115876
12396.74892,200,171.224225
12043.148587,200,171.34669
-461.613739,20,171.359034
-947.849455,10,171.363808
13500.066345,200,171.48679
7356.258281,200,171.599633
-161.985637,44,171.62492
12682.042266,200,171.73831
8458.724899,200,171.859588
10615.625718,200,171.978055
15230.167968,200,172.093664
7239.495983,200,172.205627
12676.132546,200,173.297135
12785.576665,200,173.415329
12082.376327,200,173.532063
11987.338641,200,173.65996
12411.201178,200,173.811584
11573.559237,200,173.941647
10436.640277,200,174.065475
13579.850115,200,174.191823
11653.801396,200,174.31495
13167.82397,200,174.441263
11840.17818,200,175.528965
13607.39227,200,175.641497
12565.056421,200,175.75188
9655.093911,200,175.860443
6182.441684,129,175.937318
5123.166278,200,176.040551
11008.47157,200,176.160837
11049.456073,200,176.274691
3658.168585,200,176.380607
14294.222818,200,176.501492
8355.698876,200,176.608973
12647.278578,200,177.729064
10510.627282,188,177.836355
14518.347028,200,177.950002
13597.460932,200,178.07065
-958.585404,21,178.074682
8665.000391,200,178.195473
13191.56178,200,178.316444
13127.36789,200,178.433127
-390.699634,49,178.460249
2982.993038,200,178.5749
13484.680191,200,178.687229
14936.213274,200,178.797105
15138.403538,200,179.889134
15117.148297,200,179.998582
10118.084108,200,180.113089
13158.621616,200,180.22961
11136.105235,200,180.332376
-977.008386,1,180.3427
14706.1219,200,180.453067
-979.174151,1,180.453067
10558.290814,200,180.568485
264.070256,21,180.589904
-1000.417093,14,180.597182
12131.10073,200,180.718102
2842.208624,200,180.814814
13070.44239,200,180.945133
15315.789057,200,182.222652
13750.535083,200,182.337212
-905.942891,8,182.341321
15649.976246,200,182.454395
14181.170154,200,182.568175
13693.828307,200,182.692162
9562.73035,200,182.79932
8836.863935,200,182.911254
11859.583924,200,183.032929
13754.479981,200,183.150488
5277.458714,200,183.26439
14090.634633,200,184.346755
12000.302362,200,184.469345
12025.231038,200,184.588115
12874.14963,200,184.703395
13375.359724,200,184.814194
12737.071212,200,184.936275
8464.927902,200,185.04326
13323.397569,200,185.164822
14043.316056,200,185.28288
13637.657782,200,185.394242
13336.673323,200,186.481683
13346.325883,200,186.60464
